track_id,track_name,artist_name,artist_uri,album_name,duration_ms,release_date,popularity,explicit,album_cover_image,genres
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,Lit,spotify:artist:5mgr0FFpvy267wKVAYg8qp,A Place In The Sun,169026,1999-02-22,70,True,https://i.scdn.co/image/ab67616d0000b2737b40b2abdbcb8520874f29ed,"alternative metal, nu metal, pop punk, pop rock, socal pop punk"
2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Limp Bizkit,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,Chocolate Starfish And The Hot Dog Flavored Water,321040,2000-10-17,70,False,https://i.scdn.co/image/ab67616d0000b2734a31b146c7cf07705d912efe,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock"
0BRHnOFm6sjxN1i9LJrUDu,The Anthem,Good Charlotte,spotify:artist:5aYyPjAsLj7UzANzdupwnS,The Young and The Hopeless,175093,2002-10-04,70,False,https://i.scdn.co/image/ab67616d0000b273a9bae94ddb20a71f573931c0,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge"
0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Evil Empire,229466,1996-04-16,69,True,https://i.scdn.co/image/ab67616d0000b273053f006079bce979e5fef1e1,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
3DQVgcqaP3iSMbaKsd57l5,I Bet You Look Good On The Dancefloor,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",173680,2006-01-29,69,False,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf,"garage rock, modern rock, permanent wave, rock, sheffield indie"
0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ,All That You Can't Leave Behind,248400,2000-01-01,69,False,https://i.scdn.co/image/ab67616d0000b27338fa0dfe55b1ff2e8c962bae,"irish rock, permanent wave, rock"
5MMnwYs0hIxkENRsbkWJ2G,Smoke On The Water - Remastered 2012,Deep Purple,spotify:artist:568ZhdwyaiCyOGJRtNYhWf,Machine Head (Remastered),340742,1972-03-25,67,False,https://i.scdn.co/image/ab67616d0000b273a729c9c3dec04b99d889c66f,"album rock, classic rock, hard rock, metal, rock"
4GvPlSOKfN7aXEuGW8zKUx,GOSSIP (feat. Tom Morello),Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,GOSSIP (feat. Tom Morello),168280,2023-01-13,67,True,https://i.scdn.co/image/ab67616d0000b273e5c4776d41fd00198193ae53,"indie rock italiano, italian pop"
0jqK7sGTLsHPkQrrcrGuKD,Still Waiting,Sum 41,spotify:artist:0qT79UgT5tY4yudH9VfsdT,Does This Look Infected?,158733,2002-01-01,67,True,https://i.scdn.co/image/ab67616d0000b273d6176a711e031d6522840c52,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock"
4juzduULFJiZVIcrC1tkxE,Banquet,Bloc Party,spotify:artist:3MM8mtgFzaEJsqbjZBSsHJ,Silent Alarm,201360,2005-02-02,67,False,https://i.scdn.co/image/ab67616d0000b273dd5fbd879c9189622463b3bf,"alternative dance, alternative rock, dance-punk, indie rock, indietronica, modern rock, neo-synthpop, new rave"
756CJtQRFSxEx9jV4P9hpA,I Believe in a Thing Called Love,The Darkness,spotify:artist:5r1bdqzhgRoHC3YcCV6N5a,Permission to Land,216453,2003-07-07,66,False,https://i.scdn.co/image/ab67616d0000b2734d54f9eccf5646d0f7a1bd30,"glam metal, hard rock"
1oagRT7LfpVlNJN6FSZDGp,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,Infinity On High,212040,2007-01-01,66,False,https://i.scdn.co/image/ab67616d0000b273da071ae7564949fbbfc6904d,"emo, modern rock, pop, pop punk, rock"
5qxChyzKLEyoPJ5qGrdurN,No Sleep Till Brooklyn,Beastie Boys,spotify:artist:03r4iKL2g2442PT9n2UKsx,Licensed To Ill,246933,1986-11-15,66,True,https://i.scdn.co/image/ab67616d0000b273a7ea08ab3914c5fb2084a8ac,"alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock"
1gcESexgftSuLuML57Y69q,All Right Now,Free,spotify:artist:2e53aHBQdCMKWqHDuyJsjC,Fire And Water,330643,1970-06-26,65,False,https://i.scdn.co/image/ab67616d0000b273753c41c7fdc5e78ba017bbf5,"album rock, blues rock, british blues, classic rock, hard rock"
44wXefe8WB9Fd6xwtmAwbR,Monkey Wrench,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,The Colour And The Shape,231480,1997-05-20,65,False,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
